section,level,zone,location_in_stadium,side_of_ballpark,sections_from_home_plate,direction_from_home_plate,rows_in_section,entrance_row,aisle_and_walkway_locations,seat_numbering,seats_per_row,notes,confidence
211,200 Loge Level,Loge Infield Box,Second tier along the infield on the first-base side,first-base side,5,toward first base / right field,1-19,19,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 19.","Seat 1 is on the edge facing section 212; seat numbers count UP toward the edge facing section 210. Facing the field, seat 1 is on your left. Because this section is on the first-base/right-field half of the park, seat 1 is the end of the row CLOSEST to home plate and HIGHER seat numbers are FARTHER from home plate.",row 3 has 23 seats,Row 3 reported at 23 seats. A reviewer reports the overhang blocking part of the view.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
212,200 Loge Level,Loge Infield Box,Second tier along the infield on the first-base side,first-base side,4,toward first base / right field,1-19,19,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 19.","Seat 1 is on the edge facing section 213; seat numbers count UP toward the edge facing section 211. Facing the field, seat 1 is on your left. Because this section is on the first-base/right-field half of the park, seat 1 is the end of the row CLOSEST to home plate and HIGHER seat numbers are FARTHER from home plate.",not published (typical rows run roughly 18-23 seats),Rows 17 and higher in sections 212-215 get good shade during day games.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
213,200 Loge Level,Loge Infield Box,Second tier along the infield on the first-base side,first-base side,3,toward first base / right field,1-21,21,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 21.","Seat 1 is on the edge facing section 214; seat numbers count UP toward the edge facing section 212. Facing the field, seat 1 is on your left. Because this section is on the first-base/right-field half of the park, seat 1 is the end of the row CLOSEST to home plate and HIGHER seat numbers are FARTHER from home plate.",row 5 has 22 seats,Row 5 reported at 22 seats.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
214,200 Loge Level,Loge Infield Box,Second tier along the infield on the first-base side,first-base side,2,toward first base / right field,1-19,19,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 19.","Seat 1 is on the edge facing section 215; seat numbers count UP toward the edge facing section 213. Facing the field, seat 1 is on your left. Because this section is on the first-base/right-field half of the park, seat 1 is the end of the row CLOSEST to home plate and HIGHER seat numbers are FARTHER from home plate.",one row reported at 18 seats,A reviewer reports balls down the right-field line are hard to see land.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
215,200 Loge Level,Loge Infield Box,Second tier along the infield on the first-base side,first-base side,1,toward first base / right field,1-21,21,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 21.","Seat 1 is on the edge facing section 216; seat numbers count UP toward the edge facing section 214. Facing the field, seat 1 is on your left. Because this section is on the first-base/right-field half of the park, seat 1 is the end of the row CLOSEST to home plate and HIGHER seat numbers are FARTHER from home plate.",not published (typical rows run roughly 18-23 seats),Rows 17 and higher get good shade during day games.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
216,200 Loge Level,Loge Infield Box,Second tier directly behind home plate,behind home plate,0,behind home plate,1-10,10,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 10.","Seat 1 is on the edge facing section 217; seat numbers count UP toward the edge facing section 215. Facing the field, seat 1 is on your left. This section is behind home plate, so seat 1 is on its third-base side and the highest seat number is on its first-base side.",not published (typical rows run roughly 18-23 seats),Rows 1-5 are sold as premium Loge Diamond Box.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
217,200 Loge Level,Loge Infield Box,Second tier directly behind home plate (alcohol-free family section),behind home plate,0,behind home plate,1-10,10,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 10.","Seat 1 is on the edge facing section 218; seat numbers count UP toward the edge facing section 216. Facing the field, seat 1 is on your left. This section is behind home plate, so seat 1 is on its third-base side and the highest seat number is on its first-base side.",not published (typical rows run roughly 18-23 seats),Alcohol-free family section; no alcohol permitted. Directly in front of the press box.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
218,200 Loge Level,Loge Infield Box,Second tier directly behind home plate (in front of the press box),behind home plate,0,behind home plate,1-10,10,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 10.","Seat 1 is on the edge facing section 219; seat numbers count UP toward the edge facing section 217. Facing the field, seat 1 is on your left. This section is behind home plate, so seat 1 is on its third-base side and the highest seat number is on its first-base side.",not published (typical rows run roughly 18-23 seats),Dead-centre behind home plate on this level.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
219,200 Loge Level,Loge Infield Box,Second tier directly behind home plate,behind home plate,0,behind home plate,1-10,10,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 10.","Seat 1 is on the edge facing section 220; seat numbers count UP toward the edge facing section 218. Facing the field, seat 1 is on your left. This section is behind home plate, so seat 1 is on its third-base side and the highest seat number is on its first-base side.",not published (typical rows run roughly 18-23 seats),Short section - only 10 rows deep.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
220,200 Loge Level,Loge Infield Box,Second tier directly behind home plate,behind home plate,0,behind home plate,1-10,10,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 10.","Seat 1 is on the edge facing section 221; seat numbers count UP toward the edge facing section 219. Facing the field, seat 1 is on your left. This section is behind home plate, so seat 1 is on its third-base side and the highest seat number is on its first-base side.",not published (typical rows run roughly 18-23 seats),Short section - only 10 rows deep.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
221,200 Loge Level,Loge Infield Box,Second tier directly behind home plate (a wheelchair lift serves this section),behind home plate,0,behind home plate,1-10,10,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 10.","Seat 1 is on the edge facing section 222; seat numbers count UP toward the edge facing section 220. Facing the field, seat 1 is on your left. This section is behind home plate, so seat 1 is on its third-base side and the highest seat number is on its first-base side.",not published (typical rows run roughly 18-23 seats),A wheelchair lift serves this section. Guest Relations kiosk is behind section 221.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
222,200 Loge Level,Loge Infield Box,Second tier along the infield on the third-base side,third-base side,1,toward third base / left field,1-21,21,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 21.","Seat 1 is on the edge facing section 223; seat numbers count UP toward the edge facing section 221. Facing the field, seat 1 is on your left. Because this section is on the third-base/left-field half of the park, the rule flips: seat 1 is the end of the row FARTHEST from home plate and HIGHER seat numbers are CLOSER to home plate.",not published (typical rows run roughly 18-23 seats),Rows 1-5 are premium Loge Diamond Box. One review reports the overhang cutting off the centre video board.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
223,200 Loge Level,Loge Infield Box,Second tier along the infield on the third-base side,third-base side,2,toward third base / left field,1-19,19,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 19.","Seat 1 is on the edge facing section 224; seat numbers count UP toward the edge facing section 222. Facing the field, seat 1 is on your left. Because this section is on the third-base/left-field half of the park, the rule flips: seat 1 is the end of the row FARTHEST from home plate and HIGHER seat numbers are CLOSER to home plate.",not published (typical rows run roughly 18-23 seats),An accessible row is reported at row 19.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
224,200 Loge Level,Loge Infield Box,Second tier along the infield on the third-base side,third-base side,3,toward third base / left field,1-21,21,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 21.","Seat 1 is on the edge facing section 225; seat numbers count UP toward the edge facing section 223. Facing the field, seat 1 is on your left. Because this section is on the third-base/left-field half of the park, the rule flips: seat 1 is the end of the row FARTHEST from home plate and HIGHER seat numbers are CLOSER to home plate.",not published (typical rows run roughly 18-23 seats),,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
225,200 Loge Level,Loge Infield Box,Second tier along the infield on the third-base side,third-base side,4,toward third base / left field,1-19,19,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 19.","Seat 1 is on the edge facing section 226; seat numbers count UP toward the edge facing section 224. Facing the field, seat 1 is on your left. Because this section is on the third-base/left-field half of the park, the rule flips: seat 1 is the end of the row FARTHEST from home plate and HIGHER seat numbers are CLOSER to home plate.",not published (typical rows run roughly 18-23 seats),,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
226,200 Loge Level,Loge Infield Box,Second tier along the infield on the third-base side,third-base side,5,toward third base / left field,1-19,19,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 19.","Seat 1 is on the edge facing section 227; seat numbers count UP toward the edge facing section 225. Facing the field, seat 1 is on your left. Because this section is on the third-base/left-field half of the park, the rule flips: seat 1 is the end of the row FARTHEST from home plate and HIGHER seat numbers are CLOSER to home plate.",not published (typical rows run roughly 18-23 seats),An accessible row is reported at row 19.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
227,200 Loge Level,Loge Infield Box,Second tier along the infield on the third-base side,third-base side,6,toward third base / left field,1-19,19,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 19.","Seat 1 is on the edge facing section 228; seat numbers count UP toward the edge facing section 226. Facing the field, seat 1 is on your left. Because this section is on the third-base/left-field half of the park, the rule flips: seat 1 is the end of the row FARTHEST from home plate and HIGHER seat numbers are CLOSER to home plate.",not published (typical rows run roughly 18-23 seats),Rows 14 and up are shaded by the club-level overhang. Rows 1-5 are Loge Diamond Box. An 'ADA' row is reported here.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
228,200 Loge Level,Loge Outfield Box,Second tier down the left-field line between third base and the outfield corner,third-base line / left field,7,toward third base / left field,1-19,19,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 19.","Seat 1 is on the edge facing section 229; seat numbers count UP toward the edge facing section 227. Facing the field, seat 1 is on your left. Because this section is on the third-base/left-field half of the park, the rule flips: seat 1 is the end of the row FARTHEST from home plate and HIGHER seat numbers are CLOSER to home plate.",not published (typical rows run roughly 18-23 seats),Left-field side gets significantly more sun with the roof open. Strong foul-ball area. Seat-numbering direction NOT stated by the source for this section.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
229,200 Loge Level,Loge Outfield Box,Second tier down the left-field line between third base and the outfield corner,third-base line / left field,8,toward third base / left field,1-21,21,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 21.","Seat 1 is on the edge facing section 230; seat numbers count UP toward the edge facing section 228. Facing the field, seat 1 is on your left. Because this section is on the third-base/left-field half of the park, the rule flips: seat 1 is the end of the row FARTHEST from home plate and HIGHER seat numbers are CLOSER to home plate.",not published (typical rows run roughly 18-23 seats),Left-field side receives more sun with the roof open.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
230,200 Loge Level,Loge Outfield Box,Second tier down the left-field line between third base and the outfield corner,third-base line / left field,9,toward third base / left field,1-19,19,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 19.","Seat 1 is on the edge facing section 231; seat numbers count UP toward the edge facing section 229. Facing the field, seat 1 is on your left. Because this section is on the third-base/left-field half of the park, the rule flips: seat 1 is the end of the row FARTHEST from home plate and HIGHER seat numbers are CLOSER to home plate.",not published (typical rows run roughly 18-23 seats),Left-field side receives more sun.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
231,200 Loge Level,Loge Outfield Box,Second tier down the left-field line between third base and the outfield corner,third-base line / left field,10,toward third base / left field,1-21,21,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 21.","Seat 1 is on the edge facing section 232; seat numbers count UP toward the edge facing section 230. Facing the field, seat 1 is on your left. Because this section is on the third-base/left-field half of the park, the rule flips: seat 1 is the end of the row FARTHEST from home plate and HIGHER seat numbers are CLOSER to home plate.",not published (typical rows run roughly 18-23 seats),Left-field side receives more sun. Rows 17-21 recommended for convenience.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
232,200 Loge Level,Loge Outfield Box,Second tier down the left-field line between third base and the outfield corner,third-base line / left field,11,toward third base / left field,1-19,19,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 19.","Seat 1 is on the edge facing section 233; seat numbers count UP toward the edge facing section 231. Facing the field, seat 1 is on your left. Because this section is on the third-base/left-field half of the park, the rule flips: seat 1 is the end of the row FARTHEST from home plate and HIGHER seat numbers are CLOSER to home plate.",not published (typical rows run roughly 18-23 seats),Left-field side receives more sun. Rows 17-21 recommended for convenience.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
233,200 Loge Level,Loge Bleachers,"Second tier, left field, behind the left-field wall, near the Brewers (home) bullpen. Bench seating with backrests",left field,12,toward third base / left field,1-19,19,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 19.","Seat 1 is on the edge facing section 234; seat numbers count UP toward the edge facing section 232. Facing the field, seat 1 is on your left. Because this section is on the third-base/left-field half of the park, the rule flips: seat 1 is the end of the row FARTHEST from home plate and HIGHER seat numbers are CLOSER to home plate.",not published (typical rows run roughly 18-23 seats),A large yellow pole at the front of the section blocks the left-field corner. Home plate is distant; scoreboard at an angle.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
234,200 Loge Level,Loge Bleachers,"Second tier, left field, behind the left-field wall, near the Brewers (home) bullpen. Bench seating with backrests",left field,13,toward third base / left field,1-19,19,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 19.","Seat 1 is on the edge facing section 235; seat numbers count UP toward the edge facing section 233. Facing the field, seat 1 is on your left. Because this section is on the third-base/left-field half of the park, the rule flips: seat 1 is the end of the row FARTHEST from home plate and HIGHER seat numbers are CLOSER to home plate.",not published (typical rows run roughly 18-23 seats),Bench seating with backrest. Scoreboard at an angle. Behind or beside the stage for most concerts.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
235,200 Loge Level,Loge Bleachers,"Second tier, left field, behind the left-field wall, near the Brewers (home) bullpen. Bench seating with backrests",left field,14,toward third base / left field,1-19,19,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 19.","Seat 1 is on the edge facing section 236; seat numbers count UP toward the edge facing section 234. Facing the field, seat 1 is on your left. Because this section is on the third-base/left-field half of the park, the rule flips: seat 1 is the end of the row FARTHEST from home plate and HIGHER seat numbers are CLOSER to home plate.",not published (typical rows run roughly 18-23 seats),"You lose more of left field the higher you sit, so the left fielder can be blocked from upper rows.","HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
236,200 Loge Level,Loge Bleachers,"Second tier, left field, behind the left-field wall, near the Brewers (home) bullpen. Bench seating with backrests",left field,15,toward third base / left field,1-18,18,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 18.","Seat 1 is on the edge facing section 237; seat numbers count UP toward the edge facing section 235. Facing the field, seat 1 is on your left. Because this section is on the third-base/left-field half of the park, the rule flips: seat 1 is the end of the row FARTHEST from home plate and HIGHER seat numbers are CLOSER to home plate.",not published (typical rows run roughly 18-23 seats),Reserved bleacher benches with backrests and printed numbers. Behind or beside the stage for most concerts.,"HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
237,200 Loge Level,Loge Bleachers,"Second tier, left field, behind the left-field wall, near the Brewers (home) bullpen. Bench seating with backrests",left field,16,toward third base / left field,UNKNOWN,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal row not published.","Seat 1 is on the edge facing section 238; seat numbers count UP toward the edge facing section 236. Facing the field, seat 1 is on your left. Because this section is on the third-base/left-field half of the park, the rule flips: seat 1 is the end of the row FARTHEST from home plate and HIGHER seat numbers are CLOSER to home plate.",not published (typical rows run roughly 18-23 seats),Listed in some venue indexes as a left-field Loge section but not present on the RateYourSeats section index - treat as unverified.,LOW - section not on the primary source index
238,200 Loge Level,Loge Bleachers,"Second tier, left field, behind the left-field wall, near the Brewers (home) bullpen. Bench seating with backrests",left field,17,toward third base / left field,UNKNOWN,UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal row not published.","Seat 1 is on the far edge of the section (no higher-numbered section beyond it); seat numbers count UP toward the edge facing section 237. Facing the field, seat 1 is on your left. Because this section is on the third-base/left-field half of the park, the rule flips: seat 1 is the end of the row FARTHEST from home plate and HIGHER seat numbers are CLOSER to home plate.",not published (typical rows run roughly 18-23 seats),Listed in some venue indexes as a left-field Loge section near the Brewers bullpen but not present on the RateYourSeats section index - treat as unverified. Reported by some sources as a third alcohol-free family section.,LOW - section not on the primary source index
302,300 Club Level (PNC Club Level),The Party Deck & Miller High Life Loft,"Third tier beyond the right-field wall; all-inclusive group hospitality area with table and rail seating, not standard bowl seating",right field,26,toward first base / right field,1-8 (unverified; one fan photo tagged row 13),UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal row not published.","Seat 1 is on the edge facing section 303; seat numbers count UP toward the far edge of the section (no lower-numbered section beyond it). Facing the field, seat 1 is on your left. Because this section is on the first-base/right-field half of the park, seat 1 is the end of the row CLOSEST to home plate and HIGHER seat numbers are FARTHER from home plate.",not published (typical rows run roughly 18-23 seats),"All-inclusive group area: buffet, drink package, two complimentary beers per adult. Typically sold to groups of 25-260. Table seating.",LOW - row data from a secondary source and internally inconsistent
303,300 Club Level (PNC Club Level),The Party Deck & Miller High Life Loft,"Third tier beyond the right-field wall; all-inclusive group hospitality area with table and rail seating, not standard bowl seating",right field,25,toward first base / right field,1-8 (unverified; one fan photo tagged row 13),UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal row not published.","Seat 1 is on the edge facing section 304; seat numbers count UP toward the edge facing section 302. Facing the field, seat 1 is on your left. Because this section is on the first-base/right-field half of the park, seat 1 is the end of the row CLOSEST to home plate and HIGHER seat numbers are FARTHER from home plate.",not published (typical rows run roughly 18-23 seats),All-inclusive group area. Some rows marked wheelchair accessible.,LOW - row data from a secondary source and internally inconsistent
304,300 Club Level (PNC Club Level),The Party Deck & Miller High Life Loft,"Third tier beyond the right-field wall; all-inclusive group hospitality area with table and rail seating, not standard bowl seating",right field,24,toward first base / right field,1-8 (unverified; one fan photo tagged row 13),UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal row not published.","Seat 1 is on the edge facing section 305; seat numbers count UP toward the edge facing section 303. Facing the field, seat 1 is on your left. Because this section is on the first-base/right-field half of the park, seat 1 is the end of the row CLOSEST to home plate and HIGHER seat numbers are FARTHER from home plate.",not published (typical rows run roughly 18-23 seats),All-inclusive group area with rail-style seating and flat-screen TVs.,LOW - row data from a secondary source and internally inconsistent
305,300 Club Level (PNC Club Level),The Party Deck & Miller High Life Loft,"Third tier beyond the right-field wall; all-inclusive group hospitality area with table and rail seating, not standard bowl seating",right field,23,toward first base / right field,1-8 (unverified; one fan photo tagged row 13),UNKNOWN,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal row not published.","Seat 1 is on the edge facing section 306; seat numbers count UP toward the edge facing section 304. Facing the field, seat 1 is on your left. Because this section is on the first-base/right-field half of the park, seat 1 is the end of the row CLOSEST to home plate and HIGHER seat numbers are FARTHER from home plate.",not published (typical rows run roughly 18-23 seats),All-inclusive group area. Accessible rows and aisle seats noted. Individual tickets occasionally released.,LOW - row data from a secondary source and internally inconsistent
306,300 Club Level (PNC Club Level),PNC Club Level - Club Outfield Box,"Club Level above the lower bowl, out toward the right-field corner. No in-seat wait service in this sub-zone",right field / first-base line,22,toward first base / right field,1-7,7,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 7.","Seat 1 is on the edge facing section 307; seat numbers count UP toward the edge facing section 305. Facing the field, seat 1 is on your left. Because this section is on the first-base/right-field half of the park, seat 1 is the end of the row CLOSEST to home plate and HIGHER seat numbers are FARTHER from home plate.",not published (typical rows run roughly 18-23 seats),"All Club Level tickets include SKYY Lounge access: climate-controlled seating, upscale food and beverage, bars. Club Infield Box sections also get in-seat wait service; Club Outfield Box sections do not.","HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
307,300 Club Level (PNC Club Level),PNC Club Level - Club Outfield Box,"Club Level above the lower bowl, out toward the right-field corner. No in-seat wait service in this sub-zone",right field / first-base line,21,toward first base / right field,1-7,7,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 7.","Seat 1 is on the edge facing section 308; seat numbers count UP toward the edge facing section 306. Facing the field, seat 1 is on your left. Because this section is on the first-base/right-field half of the park, seat 1 is the end of the row CLOSEST to home plate and HIGHER seat numbers are FARTHER from home plate.",not published (typical rows run roughly 18-23 seats),"All Club Level tickets include SKYY Lounge access: climate-controlled seating, upscale food and beverage, bars. Club Infield Box sections also get in-seat wait service; Club Outfield Box sections do not.","HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
308,300 Club Level (PNC Club Level),PNC Club Level - Club Outfield Box,"Club Level above the lower bowl, out toward the right-field corner. No in-seat wait service in this sub-zone",right field / first-base line,20,toward first base / right field,1-7,7,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 7.","Seat 1 is on the edge facing section 309; seat numbers count UP toward the edge facing section 307. Facing the field, seat 1 is on your left. Because this section is on the first-base/right-field half of the park, seat 1 is the end of the row CLOSEST to home plate and HIGHER seat numbers are FARTHER from home plate.",not published (typical rows run roughly 18-23 seats),"All Club Level tickets include SKYY Lounge access: climate-controlled seating, upscale food and beverage, bars. Club Infield Box sections also get in-seat wait service; Club Outfield Box sections do not.","HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
309,300 Club Level (PNC Club Level),PNC Club Level - Club Outfield Box,"Club Level above the lower bowl, out toward the right-field corner. No in-seat wait service in this sub-zone",right field / first-base line,19,toward first base / right field,1-7,7,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 7.","Seat 1 is on the edge facing section 310; seat numbers count UP toward the edge facing section 308. Facing the field, seat 1 is on your left. Because this section is on the first-base/right-field half of the park, seat 1 is the end of the row CLOSEST to home plate and HIGHER seat numbers are FARTHER from home plate.",not published (typical rows run roughly 18-23 seats),"All Club Level tickets include SKYY Lounge access: climate-controlled seating, upscale food and beverage, bars. Club Infield Box sections also get in-seat wait service; Club Outfield Box sections do not.","HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
310,300 Club Level (PNC Club Level),PNC Club Level - Club Outfield Box,"Club Level above the lower bowl, out toward the right-field corner. No in-seat wait service in this sub-zone",right field / first-base line,18,toward first base / right field,1-7,7,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 7.","Seat 1 is on the edge facing section 311; seat numbers count UP toward the edge facing section 309. Facing the field, seat 1 is on your left. Because this section is on the first-base/right-field half of the park, seat 1 is the end of the row CLOSEST to home plate and HIGHER seat numbers are FARTHER from home plate.",not published (typical rows run roughly 18-23 seats),"All Club Level tickets include SKYY Lounge access: climate-controlled seating, upscale food and beverage, bars. Club Infield Box sections also get in-seat wait service; Club Outfield Box sections do not.","HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
311,300 Club Level (PNC Club Level),PNC Club Level - Club Outfield Box,"Club Level above the lower bowl, out toward the right-field corner. No in-seat wait service in this sub-zone",right field / first-base line,17,toward first base / right field,1-8,8,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 8.","Seat 1 is on the edge facing section 312; seat numbers count UP toward the edge facing section 310. Facing the field, seat 1 is on your left. Because this section is on the first-base/right-field half of the park, seat 1 is the end of the row CLOSEST to home plate and HIGHER seat numbers are FARTHER from home plate.",not published (typical rows run roughly 18-23 seats),"Unlike other club sections this one has 8 rows with the entrance at row 8. All Club Level tickets include SKYY Lounge access: climate-controlled seating, upscale food and beverage, bars. Club Infield Box sections also get in-seat wait service; Club Outfield Box sections do not.","HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
312,300 Club Level (PNC Club Level),PNC Club Level - Club Outfield Box,"Club Level above the lower bowl, out toward the right-field corner. No in-seat wait service in this sub-zone",right field / first-base line,16,toward first base / right field,1-7,7,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 7.","Seat 1 is on the edge facing section 313; seat numbers count UP toward the edge facing section 311. Facing the field, seat 1 is on your left. Because this section is on the first-base/right-field half of the park, seat 1 is the end of the row CLOSEST to home plate and HIGHER seat numbers are FARTHER from home plate.",not published (typical rows run roughly 18-23 seats),"All Club Level tickets include SKYY Lounge access: climate-controlled seating, upscale food and beverage, bars. Club Infield Box sections also get in-seat wait service; Club Outfield Box sections do not.","HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
313,300 Club Level (PNC Club Level),PNC Club Level - Club Outfield Box,"Club Level above the lower bowl, out toward the right-field corner. No in-seat wait service in this sub-zone",right field / first-base line,15,toward first base / right field,1-7,7,"Stairway aisles run along both side edges of the section; rows are not split by a mid-row aisle, so seat numbers run continuously from one side aisle to the other. Entry portal / cross-aisle at row 7.","Seat 1 is on the edge facing section 314; seat numbers count UP toward the edge facing section 312. Facing the field, seat 1 is on your left. Because this section is on the first-base/right-field half of the park, seat 1 is the end of the row CLOSEST to home plate and HIGHER seat numbers are FARTHER from home plate.",not published (typical rows run roughly 18-23 seats),"All Club Level tickets include SKYY Lounge access: climate-controlled seating, upscale food and beverage, bars. Club Infield Box sections also get in-seat wait service; Club Outfield Box sections do not.","HIGH - rows, entrance row and seat direction stated by RateYourSeats section page"
